player1 | 2450 | Level 2 | 2025-10-22 18:39:21
player1 | 2460 | Level 2 | 2025-10-22 18:39:21
player1 | 2470 | Level 2 | 2025-10-22 18:39:21
player1 | 2480 | Level 2 | 2025-10-22 18:39:21
player1 | 2490 | Level 2 | 2025-10-22 18:39:21
player1 | 2500 | Level 2 | 2025-10-22 18:39:21
player1 | 2510 | Level 2 | 2025-10-22 18:39:22
player1 | 2520 | Level 2 | 2025-10-22 18:39:22
player1 | 2530 | Level 2 | 2025-10-22 18:39:22
player1 | 2540 | Level 2 | 2025-10-22 18:39:22
player1 | 2550 | Level 2 | 2025-10-22 18:39:22
player1 | 2560 | Level 2 | 2025-10-22 18:39:22
player1 | 2570 | Level 2 | 2025-10-22 18:39:22
player1 | 2580 | Level 2 | 2025-10-22 18:39:22
player1 | 2590 | Level 2 | 2025-10-22 18:39:22
player1 | 2600 | Level 2 | 2025-10-22 18:39:23
player1 | 2610 | Level 2 | 2025-10-22 18:39:23
player1 | 2620 | Level 2 | 2025-10-22 18:39:23
player1 | 2630 | Level 2 | 2025-10-22 18:39:23
player1 | 2640 | Level 2 | 2025-10-22 18:39:23
player1 | 2650 | Level 2 | 2025-10-22 18:39:23
player1 | 2660 | Level 2 | 2025-10-22 18:39:23
player1 | 2670 | Level 2 | 2025-10-22 18:39:23
player1 | 2680 | Level 2 | 2025-10-22 18:39:23
player1 | 2690 | Level 2 | 2025-10-22 18:39:23
player1 | 2700 | Level 2 | 2025-10-22 18:39:23
player1 | 2710 | Level 2 | 2025-10-22 18:39:24
player1 | 2720 | Level 2 | 2025-10-22 18:39:24
player1 | 2730 | Level 2 | 2025-10-22 18:39:24
player1 | 2740 | Level 2 | 2025-10-22 18:39:24
player1 | 2750 | Level 2 | 2025-10-22 18:39:24
player1 | 2760 | Level 2 | 2025-10-22 18:39:24
player1 | 2770 | Level 2 | 2025-10-22 18:39:24
player1 | 2780 | Level 2 | 2025-10-22 18:39:24
player1 | 2790 | Level 2 | 2025-10-22 18:39:24
player1 | 2800 | Level 2 | 2025-10-22 18:39:24
player1 | 2810 | Level 2 | 2025-10-22 18:39:25
player1 | 2820 | Level 2 | 2025-10-22 18:39:26
player1 | 2830 | Level 2 | 2025-10-22 18:39:28
player1 | 2840 | Level 2 | 2025-10-22 18:39:30
player1 | 2890 | Level 2 | 2025-10-22 18:39:41
player1 | 2920 | Level 2 | 2025-10-22 18:39:47
player1 | 2930 | Level 2 | 2025-10-22 18:39:50
player1 | 2940 | Level 2 | 2025-10-22 18:39:52
